"codigo","lat","e/w","lon","n/s","nome sem acento","uf","nome original","altitude","area"
2760,"-22.43.51","W","-45.07.29","S","lorena","SP","Lorena",524.000,417.500
2761,"-07.05.04","W","-45.08.28","S","loreto","MA","Loreto",193.000,3610.500
2762,"-20.58.01","W","-50.13.27","S","lourdes","SP","Lourdes",403.000,114.100
2763,"-23.05.11","W","-46.57.02","S","louveira","SP","Louveira",690.000,55.400
2764,"-13.03.01","W","-55.54.40","S","lucas do rio verde","MT","Lucas do Rio Verde",390.000,3673.700
2765,"-21.43.13","W","-51.01.08","S","lucelia","SP","Lucélia",438.000,315.300
2766,"-06.54.01","W","-34.52.08","S","lucena","PB","Lucena",3.000,92.400
2767,"-22.25.52","W","-49.31.21","S","lucianopolis","SP","Lucianópolis",561.000,191.400
2768,"-11.13.20","W","-50.40.09","S","luciara","MT","Luciara",197.000,4662.800
2769,"-06.07.12","W","-37.48.56","S","lucrecia","RN","Lucrécia",216.000,27.500
2770,"-21.33.18","W","-47.42.16","S","luis antonio","SP","Luís Antônio",675.000,599.200
2771,"-02.52.45","W","-41.40.01","S","luis correia","PI","Luís Correia",10.000,1077.000
2772,"-01.16.06","W","-45.52.24","S","luis domingues","MA","Luís Domingues",5.000,430.700
2773,"-06.24.50","W","-38.23.19","S","luis gomes","RN","Luís Gomes",636.000,181.500
2774,"-20.26.23","W","-42.06.10","S","luisburgo","MG","Luisburgo",800.000,146.500
2775,"-16.07.03","W","-44.35.19","S","luislandia","MG","Luislândia",758.000,426.200
2776,"-26.43.14","W","-48.55.58","S","luiz alves","SC","Luiz Alves",70.000,260.800
2777,"-24.17.10","W","-52.16.33","S","luiziana","PR","Luiziana",752.000,906.500
2778,"-21.40.33","W","-50.19.36","S","luiziania","SP","Luiziânia",426.000,167.400
2779,"-21.30.40","W","-44.54.12","S","luminarias","MG","Luminárias",957.000,500.000
2780,"-24.04.46","W","-51.44.15","S","lunardelli","PR","Lunardelli",640.000,193.800
2781,"-22.24.54","W","-49.49.02","S","lupercio","SP","Lupércio",661.000,155.400
2782,"-22.45.19","W","-51.39.26","S","lupionopolis","PR","Lupionópolis",350.000,120.400
2783,"-22.20.24","W","-50.23.32","S","lutecia","SP","Lutécia",581.000,475.800
2784,"-19.48.05","W","-45.41.08","S","luz","MG","Luz",675.000,1175.100
2785,"-27.07.58","W","-51.28.02","S","luzerna","SC","Luzerna",511.000,116.700
2786,"-16.15.09","W","-47.57.01","S","luziania","GO","Luziânia",930.000,3975.000
2787,"-03.27.28","W","-42.22.13","S","luzilandia","PI","Luzilândia",30.000,735.900
2788,"-06.10.56","W","-47.51.22","S","luzinopolis","TO","Luzinópolis",250.000,280.800
2789,"-15.29.17","W","-44.21.42","S","lagoas","MG","lagoas",554.000,7325.300
2790,"-22.22.15","W","-41.47.13","S","macae","RJ","Macaé",2.000,1218.100
2791,"-05.51.30","W","-35.21.14","S","macaiba","RN","Macaíba",11.000,492.000
2792,"-12.08.10","W","-40.21.36","S","macajuba","BA","Macajuba",353.000,709.900
2793,"-29.08.34","W","-56.03.54","S","macambara","RS","Maçambara",110.000,1682.500
2794,"-10.39.59","W","-37.32.27","S","macambira","SE","Macambira",282.000,137.400
2795,"-00.02.20","W","+51.03.59","N","macapa","AP","Macapá",16.000,6562.400
2796,"-07.33.17","W","-35.27.11","S","macaparana","PE","Macaparana",350.000,100.200
2797,"-15.34.06","W","-40.25.23","S","macarani","BA","Macarani",324.000,1376.500
2798,"-22.30.08","W","-48.42.41","S","macatuba","SP","Macatuba",515.000,226.700
2799,"-05.06.54","W","-36.38.04","S","macau","RN","Macau",4.000,750.200
2800,"-20.48.21","W","-49.57.50","S","macaubal","SP","Macaubal",516.000,249.400
2801,"-13.01.10","W","-42.41.55","S","macaubas","BA","Macaúbas",697.000,3050.800
2802,"-20.08.45","W","-50.11.40","S","macedonia","SP","Macedônia",502.000,330.100
